CodeCommune;Code Région;Code Département;Commune;Région;Département;CodePostale;CodePostaleCorrigé;CodePostaleCorrigé;test
1207;84;1;LAPEYROUSE;AUVERGNE RHONE ALPES;AIN;1330;1330;1330;'01330
1208;84;1;LAVOURS;AUVERGNE RHONE ALPES;AIN;1350;1350;1350;'01350
1209;84;1;LEAZ;AUVERGNE RHONE ALPES;AIN;1200;1200;1200;'01200
1210;84;1;LELEX;AUVERGNE RHONE ALPES;AIN;1410;1410;1410;'01410
1211;84;1;LENT;AUVERGNE RHONE ALPES;AIN;1240;1240;1240;'01240
1212;84;1;LESCHEROUX;AUVERGNE RHONE ALPES;AIN;1560;1560;1560;'01560
1213;84;1;LEYMENT;AUVERGNE RHONE ALPES;AIN;1150;1150;1150;'01150
1214;84;1;LEYSSARD;AUVERGNE RHONE ALPES;AIN;1450;1450;1450;'01450
1215;84;1;SURJOUX LHOPITAL;AUVERGNE RHONE ALPES;AIN;1420;1420;1420;'01420
1215;;;LHOPITAL;#N/A;#N/A;1420;1420;1420;'01420
1216;84;1;LHUIS;AUVERGNE RHONE ALPES;AIN;1680;1680;1680;'01680
1218;;;LOCHIEU;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1219;84;1;LOMPNAS;AUVERGNE RHONE ALPES;AIN;1680;1680;1680;'01680
1221;;;LOMPNIEU;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1224;84;1;LOYETTES;AUVERGNE RHONE ALPES;AIN;1360;1360;1360;'01360
1225;84;1;LURCY;AUVERGNE RHONE ALPES;AIN;1090;1090;1090;'01090
1227;84;1;MAGNIEU;AUVERGNE RHONE ALPES;AIN;1300;1300;1300;'01300
1228;84;1;MAILLAT;AUVERGNE RHONE ALPES;AIN;1430;1430;1430;'01430
1229;84;1;MALAFRETAZ;AUVERGNE RHONE ALPES;AIN;1340;1340;1340;'01340
1230;84;1;MANTENAY MONTLIN;AUVERGNE RHONE ALPES;AIN;1560;1560;1560;'01560
1231;84;1;MANZIAT;AUVERGNE RHONE ALPES;AIN;1570;1570;1570;'01570
1232;84;1;MARBOZ;AUVERGNE RHONE ALPES;AIN;1851;1851;1851;'01851
1233;84;1;MARCHAMP;AUVERGNE RHONE ALPES;AIN;1680;1680;1680;'01680
1234;84;1;MARIGNIEU;AUVERGNE RHONE ALPES;AIN;1300;1300;1300;'01300
1235;84;1;MARLIEUX;AUVERGNE RHONE ALPES;AIN;1240;1240;1240;'01240
1236;84;1;MARSONNAS;AUVERGNE RHONE ALPES;AIN;1340;1340;1340;'01340
1237;84;1;MARTIGNAT;AUVERGNE RHONE ALPES;AIN;1100;1100;1100;'01100
1238;84;1;MASSIEUX;AUVERGNE RHONE ALPES;AIN;1600;1600;1600;'01600
1239;84;1;MASSIGNIEU DE RIVES;AUVERGNE RHONE ALPES;AIN;1300;1300;1300;'01300
1240;84;1;MATAFELON GRANGES;AUVERGNE RHONE ALPES;AIN;1580;1580;1580;'01580
1241;84;1;MEILLONNAS;AUVERGNE RHONE ALPES;AIN;1370;1370;1370;'01370
1242;84;1;MERIGNAT;AUVERGNE RHONE ALPES;AIN;1450;1450;1450;'01450
1243;84;1;MESSIMY SUR SAONE;AUVERGNE RHONE ALPES;AIN;1480;1480;1480;'01480
1244;84;1;MEXIMIEUX;AUVERGNE RHONE ALPES;AIN;1800;1800;1800;'01800
1245;84;1;BOHAS MEYRIAT RIGNAT;AUVERGNE RHONE ALPES;AIN;1250;1250;1250;'01250
1246;84;1;MEZERIAT;AUVERGNE RHONE ALPES;AIN;1660;1660;1660;'01660
1247;84;1;MIJOUX;AUVERGNE RHONE ALPES;AIN;1410;1410;1410;'01410
1248;84;1;MIONNAY;AUVERGNE RHONE ALPES;AIN;1390;1390;1390;'01390
1249;84;1;MIRIBEL;AUVERGNE RHONE ALPES;AIN;1700;1700;1700;'01700
1250;84;1;MISERIEUX;AUVERGNE RHONE ALPES;AIN;1600;1600;1600;'01600
1252;84;1;MOGNENEINS;AUVERGNE RHONE ALPES;AIN;1140;1140;1140;'01140
1254;84;1;MONTAGNAT;AUVERGNE RHONE ALPES;AIN;1250;1250;1250;'01250
1255;84;1;MONTAGNIEU;AUVERGNE RHONE ALPES;AIN;1470;1470;1470;'01470
1257;84;1;MONTANGES;AUVERGNE RHONE ALPES;AIN;1200;1200;1200;'01200
1258;84;1;MONTCEAUX;AUVERGNE RHONE ALPES;AIN;1090;1090;1090;'01090
1259;84;1;MONTCET;AUVERGNE RHONE ALPES;AIN;1310;1310;1310;'01310
1260;84;1;MONTELLIER;AUVERGNE RHONE ALPES;AIN;1800;1800;1800;'01800
1261;84;1;MONTHIEUX;AUVERGNE RHONE ALPES;AIN;1390;1390;1390;'01390
1262;84;1;MONTLUEL;AUVERGNE RHONE ALPES;AIN;1120;1120;1120;'01120
1263;84;1;MONTMERLE SUR SAONE;AUVERGNE RHONE ALPES;AIN;1090;1090;1090;'01090
1264;84;1;MONTRACOL;AUVERGNE RHONE ALPES;AIN;1310;1310;1310;'01310
